property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
2101 Grace St,,B,Existing,124817,,$6.51 - 7.96 (Est.),Warehouse,Culloden,100.0,1991.0,,124817.0,0.96,"22'0""",,3.0,,,,2025 Tax @ $0.1217/sf,,,0,,,,120.0,38.4143917,-82.0646061,WV,WV.csv,45,T4-WV-00045,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2101 Grace St, Culloden, WV",False,54011,Cabell,WV,42,4583.847771868937,WV
118-132 Harris Dr,,C,Existing,108860,,$8.59 - 10.50 (Est.),Warehouse,Poca,100.0,1960.0,,108860.0,0.18,,,16.0,,,,2025 Tax @ $0.2701/sf,,,0,"5/10'0""w x 12'0""h",,,20.0,38.449402,-81.8215856,WV,WV.csv,46,T4-WV-00046,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"118-132 Harris Dr, Poca, WV",False,54079,Putnam,WV,42,2453.276989922623,WV
159 Harris Dr,,B,Existing,163200,,$6.45 - 7.88 (Est.),Distribution,Poca,100.0,,,163200.0,0.18,"28'0""",,8.0,,,,2025 Tax @ $0.1286/sf,,,0,,,,30.0,38.44903,-81.819608,WV,WV.csv,47,T4-WV-00047,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"159 Harris Dr, Poca, WV",False,54079,Putnam,WV,42,2453.276989922623,WV
402 High St,,C,Existing,300136,,$6.38 - 7.80 (Est.),Warehouse,Huntington,100.0,,,300136.0,,,,4.0,,,,2025 Tax @ $0.1580/sf,,,0,10,,,100.0,38.415737,-82.370146,WV,WV.csv,48,T4-WV-00048,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"402 High St, Huntington, WV",False,54011,Cabell,WV,42,4583.847771868937,WV
601 Independent Ave,,C,Existing,130618,,$7.69 - 9.40 (Est.),Distribution,Nitro,100.0,,,130618.0,,,,10.0,,,,,,,0,,,,40.0,38.4407773,-81.8422582,WV,WV.csv,49,T4-WV-00049,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"601 Independent Ave, Nitro, WV",False,54079,Putnam,WV,42,2453.276989922623,WV
160 Jacobson Dr,,C,Existing,280000,,$8.28 - 9.00 (Est.),Distribution,Poca,100.0,1977.0,,280000.0,0.1,"25'0""",36-40'w x 29-30'd,29.0,480-1600a 3p,,,,,,0,"1/8'0""w x 8'0""h",Yes,,30.0,38.454033,-81.818525,WV,WV.csv,50,T4-WV-00050,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"160 Jacobson Dr, Poca, WV",False,54079,Putnam,WV,42,2453.276989922623,WV
Main St,Central Machine Shop,B,Existing,101379,,$5.45 - 6.66 (Est.),Warehouse,Weirton,100.0,1981.0,,50690.0,1.48,"43'0""",48'w x 25'd,1.0,2500-5000a/480v 3p,,,,,,0,"5/16'0""w x 20'0""h",,,150.0,40.4217684,-80.5938584,WV,WV.csv,51,T4-WV-00051,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Central Machine Shop,False,54029,Hancock,WV,42,1184.1220247552703,WV
3 McJunkin Rd,Former MRC Warehouse,B,Existing,146000,,$7.18 - 8.77 (Est.),Warehouse,Nitro,100.0,1970.0,,120400.0,0.0,"20'0""",,14.0,3p,,City,2025 Tax @ $0.1901/sf,,,0,5,Wet,City,,38.4388582,-81.836223,WV,WV.csv,52,T4-WV-00052,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Former MRC Warehouse,False,54079,Putnam,WV,42,2453.276989922623,WV
4 McJunkin Rd,,C,Existing,140000,,$6.46 - 7.89 (Est.),Warehouse,Nitro,100.0,1970.0,,140000.0,0.0,"20'0""",,,,,City,2025 Tax @ $0.1901/sf,,,0,5,Wet,City,,38.4384403,-81.8353025,WV,WV.csv,53,T4-WV-00053,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"4 McJunkin Rd, Nitro, WV",False,54079,Putnam,WV,42,2453.276989922623,WV
6 McJunkin Rd,Allied Logistics Bldg #17,B,Existing,386000,250.0,$8.31 - 10.16 (Est.),Distribution,Nitro,99.94,1973.0,1975.0,386000.0,0.1,"19'6""",54'w x 40'd,8.0,1200a/480v 3p,,Yes,2025 Tax @ $0.2488/sf,,250.0,250,2,Wet,Yes,40.0,38.4391127,-81.8377659,WV,WV.csv,54,T4-WV-00054,existing,True,False,direct_existing_facility,250.0,True,False,True,True,Allied Logistics Bldg #17,False,54079,Putnam,WV,42,2453.276989922623,WV
621 Mid Atlantic Pky,,B,Existing,191068,,$6.55 - 8.00 (Est.),Warehouse,Martinsburg,100.0,1987.0,,191068.0,0.1,"40'0""",,20.0,1600a,,,,,,0,,ESFR,,20.0,39.4982793,-77.9531285,WV,WV.csv,55,T4-WV-00055,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"621 Mid Atlantic Pky, Martinsburg, WV",False,54003,Berkeley,WV,8,4229.5714565852395,WV
