property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
71 Hampden Rd,,B,Existing,204117,,$10.30 - 12.59 (Est.),Warehouse,Mansfield,100.0,1974.0,,204117.0,1.24,"24'0""",30'w x 40'd,24.0,400a/277-480v,CSX,City,2025 Tax @ $1.3583/sf,,,0,,Wet,City,167.0,42.018157,-71.235632,MA,MA.csv,78,T4-MA-00078,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"71 Hampden Rd, Mansfield, MA",False,25005,Bristol,MA,33,14111.7303778516,MA
20 Harvard Rd,,B,Existing,305400,,$12.07 - 14.75 (Est.),Distribution,Littleton,100.0,1960.0,,75198.0,0.12,"29'0""",64'w x 37'd,17.0,9000a/277-480v,,,2025 Tax @ $0.0001/sf,,,0,"6/10'0""w x 14'0""h",,,35.0,42.5385212,-71.5152434,MA,MA.csv,79,T4-MA-00079,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"20 Harvard Rd, Littleton, MA",False,25017,Middlesex,MA,16,37219.47229475793,MA
95 N Hatfield Rd,,B,Existing,445935,,$6.98 - 8.53 (Est.),Warehouse,Hatfield,100.0,1994.0,,445935.0,,"15'0""",,100.0,,,,2025 Tax @ $1.1637/sf,,,0,"6/8'0""w x 10'0""h",Wet,,,42.3977456,-72.620878,MA,MA.csv,80,T4-MA-00080,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"95 N Hatfield Rd, Hatfield, MA",False,25015,Hampshire,MA,39,4829.097795020121,MA
211 Highland St,,A,Existing,412500,412500.0,$10.93 - 13.35 (Est.),Distribution,East Bridgewater,0.0,2023.0,,412500.0,0.6,"36'0""",56'w x 45'd,57.0,4000a,,Yes,2025 Tax @ $1.6245/sf,,412500.0,412500,"2/12'0""w x 12'0""h",ESFR,Yes,340.0,42.0543332,-70.9569752,MA,MA.csv,81,T4-MA-00081,existing,True,False,direct_existing_facility,412500.0,True,True,True,True,"211 Highland St, East Bridgewater, MA",True,25023,Plymouth,MA,33,10176.999496748813,MA
1505 W Housatonic St,,B,Existing,251640,,$9.22 - 11.27 (Est.),Distribution,Pittsfield,100.0,1990.0,,251640.0,0.35,"25'0""",35'w x 40'd,24.0,1600a/277-480v 3p 4w,,City,2025 Tax @ $0.8244/sf,,,0,"1/12'0""w x 14'0""h",ESFR,City,90.0,42.4297371,-73.3152232,MA,MA.csv,82,T4-MA-00082,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1505 W Housatonic St, Pittsfield, MA",False,25003,Berkshire,MA,39,5613.684180692198,MA
115 E Howard St,,A,Existing,448000,,$11.61 - 14.19 (Est.),Distribution,Quincy,100.0,1999.0,,448000.0,,,,25.0,,,,,,,0,,,,,42.2398312,-70.9748856,MA,MA.csv,83,T4-MA-00083,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"115 E Howard St, Quincy, MA",False,25021,Norfolk,MA,26,17207.645056127454,MA
15 Independence Dr,,A,Existing,370545,,$10.44 - 12.76 (Est.),Warehouse,Ayer,100.0,2000.0,,370545.0,0.84,"30'0""",50'w x 50'd,57.0,4000a 3p 4w,,City,,,,0,"1/12'0""w x 16'0""h",ESFR,City,311.0,42.5487426,-71.599778,MA,MA.csv,84,T4-MA-00084,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"15 Independence Dr, Ayer, MA",False,25017,Middlesex,MA,16,37219.47229475793,MA
50 Independence Dr,,A,Existing,236505,50187.0,$10.75 - 13.14 (Est.),Warehouse,Ayer,100.0,1997.0,2000.0,236505.0,1.0,"37'0""",40'w x 40'd,35.0,4000a/277-480v,,City,,,0.0,0,"1/8'0""w x 14'0""h",Wet,City,236.0,42.5467364,-71.5942004,MA,MA.csv,85,T4-MA-00085,existing,True,False,direct_existing_facility,50187.0,True,True,True,True,"50 Independence Dr, Ayer, MA",True,25017,Middlesex,MA,16,37219.47229475793,MA
2 Industrial Ave,,C,Existing,314396,,$12.69 - 15.51 (Est.),Warehouse,Lowell,100.0,1964.0,,3450.0,,"8'4""",,2.0,100-200a/120-480v,,City,,,,0,"4/9'0""w x 12'0""h",Wet,City,100.0,42.616184,-71.322974,MA,MA.csv,86,T4-MA-00086,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2 Industrial Ave, Lowell, MA",False,25017,Middlesex,MA,16,37219.47229475793,MA
108 Industrial Dr,,B,Existing,262747,,$6.33 - 7.07 (Est.),Warehouse,East Longmeadow,100.0,1980.0,,262747.0,,,,,,,,2025 Tax @ $0.6154/sf,,,0,,,,,42.0461668,-72.5284131,MA,MA.csv,87,T4-MA-00087,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"108 Industrial Dr, East Longmeadow, MA",False,25013,Hampden,MA,39,15018.342585545664,MA
