Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
1879 Lamonte Ave,,A,Existing,208000,,$10.02 - 12.25 (Est.),Warehouse,Odenton,100.00,2003,,208000,1.07,"30'0""",40'w x 50'd,32,277-480v,,City,2024 Tax @ $0.7709/sf,,,0,"3/10'0""w x 14'0""h",ESFR,City,223,39.0938910,-76.6981690
19224 Longmeadow Rd,,C,Existing,287300,287300,$5.52 - 6.75 (Est.),Distribution,Hagerstown,0.00,1961,1973,287300,0.73,"35'0""",25'w x 50'd,16,4000a/208-480v 3p,Chesapeake & Ohio Railway,Yes,2024 Tax @ $0.3166/sf,,287300,287300,"2/12'0""w x 12'0""h",Wet,Yes,225,39.6874254,-77.6993649
5 Lovett Dr,,B,Existing,233000,,$7.40 - 9.04 (Est.),Warehouse,Elkton,100.00,1999,,233000,0.43,"32'0""",,,Heavy,,,2025 Tax @ $1.0580/sf,,,0,None,Wet,,100,39.6467041,-75.8031964
1415 Magellan Rd,Building B - Phase I,B,Existing,309790,,$10.64 - 13.01 (Est.),Warehouse,Hanover,100.00,2005,,309790,0.57,"32'0""",50'w x 50'd,49,2000a,,,2024 Tax @ $0.7739/sf,,,0,"2/10'0""w x 12'0""h",ESFR,,178,39.1741280,-76.7166320
1425 Magellan Rd,,B,Existing,266621,,$11.05 - 13.50 (Est.),Warehouse,Hanover,100.00,2005,,266621,0.66,"32'0""",50'w x 50'd,15,2000a,,,2024 Tax @ $0.8114/sf,,,0,"2/10'0""w x 12'0""h",ESFR,,178,39.1750398,-76.7180590
27350 Mathison Way,AFCO Cargo Building H,B,Existing,200000,,$11.28 - 13.78 (Est.),Warehouse,Baltimore,100.00,2000,,200000,0.91,,,,,,,,,,0,,Wet,,60,39.1708224,-76.6781341
14301 Mattawoman Dr,Capital Gateway DC,A,Existing,393440,,$5.75 - 7.02 (Est.),Distribution,Brandywine,100.00,1998,,393440,0.39,"29'0""",48'w x 50'd,52,3000a/480v 3p,,City,,,,393440,"1/12'0""w x 16'0""h",ESFR,City,154,38.6926610,-76.8656501
4607 McCormick Dr,McCormick & Company,B,Existing,369760,,$8.27 - 10.11 (Est.),Distribution,Belcamp,100.00,1996,,369760,0.67,,,,,,City,2025 Tax @ $0.4952/sf,,,0,None,Wet,City,250,39.4837551,-76.2292778
4622 Mercedes Dr,95 North Distribution Center,B,Existing,316524,,$8.27 - 10.11 (Est.),Warehouse,Belcamp,100.00,1996,,316524,0.70,"28'0""",40'w x 40'd,58,3000a/480v 3p,,City,2025 Tax @ $0.8069/sf,,,0,"2/8'0""w x 10'0""h",ESFR,City,188,39.4780686,-76.2254163
2601-2729 Merchant Dr,Merchant Industrial Center,C,Existing,297676,,$9.73 - 11.89 (Est.),Warehouse,Baltimore,100.00,1980,,297676,0.20,"24'0""",30'w,41,200a/208v,"B & O Railway ",City,2024 Tax @ $0.2149/sf,,,0,"1/10'0""w x 12'0""h",Wet,City,75,39.2574408,-76.6412848
