Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
2500 71st St,,C,Existing,235000,,$13.54 - 16.55 (Est.),Warehouse,North Bergen,100.00,1968,,235000,0.23,"20'0""",40'w x 30'd,22,1200a,,City,,,,0,,Wet,City,55,40.8051314,-74.0271719
2500 83rd St,,C,Existing,244087,,$13.43 - 16.41 (Est.),Warehouse,North Bergen,100.00,1960,,293594,5.00,"25'0""",,16,200a,,City,,,,0,2,Wet,City,,40.8107209,-74.0233765
7034-7036 83rd St,Atlas Terminals,B,Existing,380000,,$15.13 - 18.49 (Est.),Warehouse,Glendale,100.00,2006,,190000,3.93,"14'0""",,42,Heavy,,Yes,2024 Tax @ $1.8496/sf,,,0,10,,Yes,124,40.7094370,-73.8673141
2101 91st St,,B,Existing,231961,,$13.55 - 16.56 (Est.),Warehouse,North Bergen,100.00,1986,,231961,0.88,"24'0""",40'w x 40'd,41,4000-8000a/277-480v 3p 4w,,City,2024 Tax @ $3.4271/sf,,,0,5,Wet,City,204,40.8160293,-74.0175193
4510-4550 94th St,,C,Existing,238000,,$15.89 - 19.42 (Est.),Warehouse,Elmhurst,100.00,1917,,59500,,"13'0""",,,Heavy,,,2024 Tax @ $1.5069/sf,,,0,,,,,40.7433359,-73.8714894
18454 149th Ave,,B,Existing,305980,,$16.54 - 20.21 (Est.),Warehouse,Springfield Gardens,100.00,1971,,152990,0.33,"24'0""",,24,Heavy,,,2024 Tax @ $0.5605/sf,,,0,"1/14'0""w x 18'0""h",Wet,,100,40.6574426,-73.7626188
977 E 149th St,,B,Existing,213776,,$14.72 - 18.00 (Est.),Distribution,Bronx,100.00,1971,,213776,0.73,,,,,,,,,,0,"9/12'0""w x 20'0""h",,,140,40.8056580,-73.9012618
2701 Route 3 Way,Lincoln Crossing,B,Existing,335827,,$13.67 - 16.71 (Est.),Distribution,Secaucus,100.00,2022,,335827,1.86,"40'0""",40'w,55,3000a/480v,,,,,,0,2,,,405,40.7809452,-74.0496966
131-11 Atlantic Ave,,B,Existing,220000,,$15.44 - 18.87 (Est.),Warehouse,Richmond Hill,100.00,1931,,55000,,"12'0""",,4,,,,2024 Tax @ $1.9196/sf,,,0,None,,,,40.6964590,-73.8179926
1502 Bassett Ave,Amazon Distribution Center,B,Existing,366375,,$13.99 - 17.09 (Est.),Distribution,Bronx,100.00,1951,,366375,,"36'0""",,59,Heavy,,,2024 Tax @ $4.2559/sf,,,0,2,Yes,,,40.8527019,-73.8406425
