Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
30 Clearview Rd,Bldg 1,A,Existing,473083,,$12.16 - 14.86 (Est.),Warehouse,Edison,100.00,1970,,473083,0.21,"28'0""",48'w x 40'd,90,4000a/277-480v,,City,,,,0,1,Wet,City,313,40.5206540,-74.3282440
670 S Clinton Ave,,C,Existing,400000,,$5.65 - 6.91 (Est.),Warehouse,Trenton,100.00,1920,,133333,2.00,"30'0""",18'w x 60'd,5,200-600a/220-440v,,,,,,0,4,Dry,,,40.2109170,-74.7515990
1 Clover Pl,UPS,B,Existing,300000,,$12.77 - 15.61 (Est.),Warehouse,Edison,100.00,1971,,300000,,,,,,,,2024 Tax @ $0.8930/sf,,,0,,,,,40.5105623,-74.3334971
1109 Commerce Blvd,Commerce Corner,B,Existing,300618,,$10.06 - 12.30 (Est.),Distribution,Logan Township,100.00,1998,2024,300618,0.50,"33'0""",54'w x 42'd,60,277-480v 3p,,City,2024 Tax @ $1.1026/sf,,,0,"1/12'0""w x 14'0""h",ESFR,,150,39.7651087,-75.3721591
1130 Commerce Blvd,,A,Existing,395640,215886,$9.98 - 12.20 (Est.),Distribution,Logan Township,100.00,2002,,386026,0.35,"32'0""",43'w x 54'd,52,2200a/277-480v 3p,,City,2024 Tax @ $0.9431/sf,,0,0,"2/12'0""w x 14'0""h",ESFR,City,202,39.7670570,-75.3761207
1140 Commerce Blvd,Building J,B,Existing,359573,,$9.98 - 12.19 (Est.),Warehouse,Logan Township,100.00,2006,,359573,0.95,"32'0""",53'w x 43'd,60,2400a/277-480v,,,2024 Tax @ $0.9571/sf,,,0,"3/12'0""w x 14'0""h",ESFR,,345,39.7666882,-75.3792398
1 Commerce Dr,,A,Existing,332222,,$12.09 - 14.78 (Est.),Warehouse,Cranbury,100.00,1996,,332222,0.35,"30'0""",45'w x 54'd,28,2000a/277-480v,,City,2024 Tax @ $1.1768/sf,,,0,"1/12'0""w x 14'0""h",ESFR,City,115,40.3467350,-74.4927230
8 Corn Rd,305M,C,Existing,305000,,$9.69 - 11.84 (Est.),Warehouse,Dayton,100.00,1987,,305000,0.32,"28'0""",42'w x 42'd,26,,,,2024 Tax @ $1.0456/sf,,,0,"1/12'0""w x 16'0""h",,,100,40.3683540,-74.4937630
10 Corn Rd,,B,Existing,332500,,$11.47 - 14.02 (Est.),Warehouse,Dayton,100.00,1975,1997,295000,1.08,,,,,,,2024 Tax @ $1.1779/sf,,,0,,,,319,40.3659712,-74.4954360
11 Corn Rd,LogistiCenter Exit 8A,B,Existing,308276,,$11.47 - 14.02 (Est.),Warehouse,Dayton,100.00,2015,,308276,0.41,"36'0""",50'w x 52'd,44,3000a/277-480v 1p,Conrail,City,,,,0,"2/12'0""w x 14'0""h",ESFR,City,125,40.3650513,-74.4922299
740 Corporate Blvd,,B,Under Construction,333580,333580,$11.53 - 14.09 (Est.),Warehouse,Robbinsville,0.00,2026,,333580,0.83,"36'0""",50'w x 54'd,69,,,,,,333580,0,2,,,317,40.1885772,-74.5883009
12 Costco Dr,Costco Depot #265,A,Existing,380000,,$11.47 - 14.02 (Est.),Distribution,Monroe Township,100.00,2002,,380000,,"36'0""",,150,,,,2024 Tax @ $2.2758/sf,,,0,,,,,40.3538738,-74.4527207
1600 Cottontail Ln,,B,Existing,306215,35843,$12.51 - 15.30 (Est.),Distribution,Somerset,100.00,1988,,153107,,"22'8""",42'w x 42'd,32,1400a,,City,2024 Tax @ $1.2527/sf,,0,0,3,Yes,City,,40.5333522,-74.5481994
11 Cragwood Rd,,B,Existing,317500,,$12.48 - 15.25 (Est.),Warehouse,Avenel,100.00,1969,,317500,0.54,"27'0""",42'w x 42'd,23,3000-4000a/277-480v 3p 4w,,,2024 Tax @ $1.9280/sf,,,0,6,,,173,40.5943898,-74.2565203
1100 Cranbury South River Rd,,A,Existing,340900,,$12.34 - 15.08 (Est.),Warehouse,South Brunswick,100.00,1989,,340900,0.62,"40'0""",44'w x 44'd,41,1600a/460v 3p,,City,,,,0,4,ESFR,City,255,40.3541230,-74.4748253
1122 Cranbury South River Rd,,B,Existing,352812,,$11.47 - 14.02 (Est.),Warehouse,South Brunswick,100.00,2008,,352812,0.69,"40'0""",,49,2000a/480v,,City,2024 Tax @ $1.3113/sf,,,0,2,,City,246,40.3533034,-74.4782444
701 Crossroads Blvd,Building F,A,Existing,326937,,$9.28 - 11.34 (Est.),Warehouse,Logan Township,100.00,2022,,326690,0.73,"36'0""",,72,,,,2024 Tax @ $1.4945/sf,,,0,,,,238,39.7868369,-75.3449010
19 Crows Mill Rd,,A,Existing,348065,,$12.40 - 15.16 (Est.),Distribution,Keasbey,100.00,1906,1965,348065,2.00,"24'0""",50'w x 72'd,195,Heavy,,City,,,,0,,Dry,City,800,40.5114972,-74.3094513
280 Daniels Way,,A,Existing,416744,,$9.42 - 11.51 (Est.),Warehouse,Burlington,100.00,2007,,416744,0.32,"30'0""",40'w x 60'd,65,1400-3000a/277-480v 3p,,,,,,0,"4/10'0""w x 12'0""h",ESFR,,133,40.1026653,-74.8122762
125 Delawanna Ave,,B,Existing,361120,,$12.21 - 14.92 (Est.),Warehouse,Clifton,100.00,2002,,361120,0.53,"36'0""",50'w x 51'd,22,3000a,,,2024 Tax @ $2.5479/sf,,,0,,Wet,,190,40.8295763,-74.1292063
251 Docks Corner Rd,,A,Existing,365400,,$11.47 - 14.02 (Est.),Distribution,Monroe Township,100.00,2020,,365400,0.13,"36'0""",,33,,,,2024 Tax @ $1.8275/sf,,,0,2,ESFR,,366,40.3641830,-74.4605781
